Lab ID,Flow Cell ID,Alternate ID,Gene Symbol,Gene Description,Gene Accession, Nucleotide Position (Genomic),Fold amplification,Mutation type,Tumor Type,Genome Build
CGOV7T,LP6005410-DNA_D01,ES-2,CCND1,cyclin D1,ENSG00000110092,chr11:69165053-69178423,5.3,Amplification,Ovarian,Hg18
CGOV13T,LP6005410-DNA_A02,Kuramochi,KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,ENSG00000133703,chr12:25249446-25295121,10.6,Amplification,Ovarian,Hg18
CGOV13T,LP6005410-DNA_A02,Kuramochi,MYC,v-myc myelocytomatosis viral oncogene homolog,ENSG00000136997,chr8:128816861-128822860,3,Amplification,Ovarian,Hg18
CGOV18T,LP6005410-DNA_F02,OV177,MYC,v-myc myelocytomatosis viral oncogene homolog,ENSG00000136997,chr8:128816861-128822860,3.3,Amplification,Ovarian,Hg18
CGOV19T,LP6005410-DNA_G02,OV2008,TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)",ENSG00000163513,chr3:30622997-30710638,NA,Deletion,Ovarian,Hg18
CGOV23T,LP6005410-DNA_B03,OVCA429,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV24T,LP6005410-DNA_C03,OVCA-432,TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)",ENSG00000163513,chr3:30622997-30710638,NA,Deletion,Ovarian,Hg18
CGOV25T,LP6005392-DNA_E01,OVCAR3,CCNE1,cyclin E1,ENSG00000105173,chr19:34994740-35007059,5.8,Amplification,Ovarian,Hg18
CGOV25T,LP6005392-DNA_E01,OVCAR3,AKT2,v-akt murine thymoma viral oncogene homolog 2,ENSG00000105221,chr19:45428063-45483105,6.7,Amplification,Ovarian,Hg18
CGOV26T,LP6005392-DNA_F01,OVCAR5,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV26T,LP6005392-DNA_F01,OVCAR5,KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,ENSG00000133703,chr12:25249446-25295121,9.4,Amplification,Ovarian,Hg18
CGOV30T,LP6005410-DNA_D03,OVSAHO,FGFR4,fibroblast growth factor receptor 4,ENSG00000160867,chr5:176446520-176457749,3.6,Amplification,Ovarian,Hg18
CGOV31T,LP6005392-DNA_B02,OVTOKO,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV34T,LP6005392-DNA_D02,PEO6,FGFR3,fibroblast growth factor receptor 3,ENSG00000068078,chr4:1764831-1780397,3.3,Amplification,Ovarian,Hg18
CGOV34T,LP6005392-DNA_D02,PEO6,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV35T,LP6005392-DNA_F02,RMG-1,MLH1,"mutL homolog 1, colon cancer, nonpolyposis type 2 ",ENSG00000076242,chr3:37009844-37067341,NA,Deletion,Ovarian,Hg18
CGOV35T,LP6005392-DNA_F02,RMG-1,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV35T,LP6005392-DNA_F02,RMG-1,ERBB2,v-erb-b2 erythroblastic leukemia viral oncogene homolog 2,ENSG00000141736,chr17:35097918-35138441,4.5,Amplification,Ovarian,Hg18
CGOV41T,LP6005410-DNA_E03,SKOV-3-cis,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV41T,LP6005410-DNA_E03,SKOV-3-cis,ERBB2,v-erb-b2 erythroblastic leukemia viral oncogene homolog 2,ENSG00000141736,chr17:35097918-35138441,4.6,Amplification,Ovarian,Hg18
CGOV43T,None,JAMA-2,MYC,v-myc myelocytomatosis viral oncogene homolog,ENSG00000136997,chr8:128816861-128822860,6.8,Amplification,Ovarian,Hg18
CGOV44T,LP6005392-DNA_C03,FUOV1,NF1,neurofibromin 1,ENSG00000196712,chr17:26446070-26728820,NA,Deletion,Ovarian,Hg18
CGOV44T,LP6005392-DNA_C03,FUOV1,MYC,v-myc myelocytomatosis viral oncogene homolog,ENSG00000136997,chr8:128816861-128822860,3.2,Amplification,Ovarian,Hg18
CGOV44T,LP6005392-DNA_C03,FUOV1,CCNE1,cyclin E1,ENSG00000105173,chr19:34994740-35007059,9.5,Amplification,Ovarian,Hg18
CGOV45T,LP6005410-DNA_G03,COV318,CCNE1,cyclin E1,ENSG00000105173,chr19:34994740-35007059,3.6,Amplification,Ovarian,Hg18
CGOV46T,LP6005410-DNA_H03,JHOS-2,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV47T,LP6005410-DNA_A04,JHOS-4,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV48T,LP6005410-DNA_B04,JHOM-1,CCND1,cyclin D1,ENSG00000110092,chr11:69165053-69178423,4.2,Amplification,Ovarian,Hg18
CGOV50T,LP6005410-DNA_D04,2393A,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
CGOV53T,LP6005410-DNA_G04,OVCAR-5-CisR,CDKN2A,cyclin-dependent kinase inhibitor 2A,ENSG00000147889,chr9:21957750-21984490,NA,Deletion,Ovarian,Hg18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
